Item Code,Item Name,Category Code,Category Name
1.029E+14,Suizhou Bubble Green,1011010101,Flower/Leaf Vegetables
1.029E+14,Panax Notoginseng,1011010101,Flower/Leaf Vegetables
1.029E+14,Dongmenkou Xiaobaicai,1011010101,Flower/Leaf Vegetables
1.029E+14,Foreign Garland Chrysanthemum ,1011010101,Flower/Leaf Vegetables
1.029E+14,Ice Grass,1011010101,Flower/Leaf Vegetables
1.029E+14,Perilla,1011010101,Flower/Leaf Vegetables
1.029E+14,Mint,1011010101,Flower/Leaf Vegetables
1.029E+14,The Dandelion,1011010101,Flower/Leaf Vegetables
1.029E+14,Siguajian,1011010101,Flower/Leaf Vegetables
1.029E+14,Naibaicai,1011010101,Flower/Leaf Vegetables
1.029E+14,Mustard,1011010101,Flower/Leaf Vegetables
1.029E+14,Big Broccoli,1011010101,Flower/Leaf Vegetables
1.029E+14,Miantiaocai,1011010101,Flower/Leaf Vegetables
1.029E+14,Sweet Chinese Cabbage,1011010101,Flower/Leaf Vegetables
1.029E+14,Jicai,1011010101,Flower/Leaf Vegetables
1.029E+14,Malan Head,1011010101,Flower/Leaf Vegetables
1.029E+14,Ganlanye,1011010101,Flower/Leaf Vegetables
1.029E+14,Hongshan Caitai,1011010101,Flower/Leaf Vegetables
1.029E+14,The Local Yellow Youcai,1011010101,Flower/Leaf Vegetables
1.029E+14,Green Caitai,1011010101,Flower/Leaf Vegetables
1.029E+14,Xiaoqingcai (1),1011010101,Flower/Leaf Vegetables
1.029E+14,Fresh Rice Dumplings Leaves,1011010101,Flower/Leaf Vegetables
1.029E+14,Aihao,1011010101,Flower/Leaf Vegetables
1.029E+14,Naibai Caimiao,1011010101,Flower/Leaf Vegetables
1.029E+14,Juhua Youcai,1011010101,Flower/Leaf Vegetables
1.029E+14,Shuanggou Cabbage,1011010101,Flower/Leaf Vegetables
1.029E+14,Zhijiang Red Bolt (Bag),1011010101,Flower/Leaf Vegetables
1.029E+14,Yunnan Lettuce (Bag),1011010101,Flower/Leaf Vegetables
1.029E+14,Yunnan Leaf Lettuce (Bag),1011010101,Flower/Leaf Vegetables
1.029E+14,Garden Chrysanthemum (Bag),1011010101,Flower/Leaf Vegetables
1.029E+14,Spinach (Bag),1011010101,Flower/Leaf Vegetables
1.029E+14,Caixin (Bag),1011010101,Flower/Leaf Vegetables
1.029E+14,Shanghai Green (Bag),1011010101,Flower/Leaf Vegetables
1.029E+14,Xiaoqingcai (2),1011010101,Flower/Leaf Vegetables
1.029E+14,Hongshan Shoutidai,1011010101,Flower/Leaf Vegetables
1.029E+14,Hongshan Gift Box,1011010101,Flower/Leaf Vegetables
1.029E+14,Yuxingcao (Bag),1011010101,Flower/Leaf Vegetables
1.029E+14,Ice Grass (Box),1011010101,Flower/Leaf Vegetables
1.029E+14,Basil (Bag),1011010101,Flower/Leaf Vegetables
1.029E+14,Xiangtianhongcaitai (Bag),1011010101,Flower/Leaf Vegetables
1.029E+14,Artemisia Stelleriana,1011010101,Flower/Leaf Vegetables
1.029E+14,Yuxingcao ,1011010101,Flower/Leaf Vegetables
1.029E+14,Zhuyecai (Bag),1011010101,Flower/Leaf Vegetables
1.029E+14,Chuncai,1011010101,Flower/Leaf Vegetables
1.029E+14,Sophora Japonica,1011010101,Flower/Leaf Vegetables
1.029E+14,Hongshujian (Bag),1011010101,Flower/Leaf Vegetables
1.029E+14,Caidian Quinoa Artemisia (Bag),1011010101,Flower/Leaf Vegetables
1.029E+14,Red Coral (Leaf),1011010101,Flower/Leaf Vegetables
1.029E+14,Red Oak Leaf,1011010101,Flower/Leaf Vegetables
1.029E+14,Green Butter,1011010101,Flower/Leaf Vegetables
1.029E+14,Powcan Mountain Chinese Cabbage ,1011010101,Flower/Leaf Vegetables
1.029E+14,Huangxincai (2),1011010101,Flower/Leaf Vegetables
1.029E+14,Amaranth (Bag),1011010101,Flower/Leaf Vegetables
1.029E+14,Chinese Cabbage (Bag),1011010101,Flower/Leaf Vegetables
1.029E+14,Xiaoqingcai (Bag),1011010101,Flower/Leaf Vegetables
1.029E+14,Cabbage Stem (Bag),1011010101,Flower/Leaf Vegetables
1.029E+14,Zhimaxiancai,1011010101,Flower/Leaf Vegetables
1.029E+14,Xianzongye,1011010101,Flower/Leaf Vegetables
1.029E+14,Xianzongye (Bag) (1),1011010101,Flower/Leaf Vegetables
1.029E+14,Foreign Garland Chrysanthemum  (Bag),1011010101,Flower/Leaf Vegetables
1.029E+14,Longyacai,1011010101,Flower/Leaf Vegetables
1.029E+14,Yellow Baicai (1),1011010101,Flower/Leaf Vegetables
1.029E+14,Chinese Cabbage Seedling,1011010101,Flower/Leaf Vegetables
1.029E+14,Muercai (Bag),1011010101,Flower/Leaf Vegetables
1.029E+14,Broccoli,1011010101,Flower/Leaf Vegetables
1.029E+14,Youcaitai,1011010101,Flower/Leaf Vegetables
1.029E+14,Huangbaicai (2),1011010101,Flower/Leaf Vegetables
1.029E+14,Purple Beicai,1011010101,Flower/Leaf Vegetables
1.06972E+14,Xianzongye (Bag) (2),1011010101,Flower/Leaf Vegetables
1.06973E+14,Xianzongye (Bag) (3),1011010101,Flower/Leaf Vegetables
1.029E+14,Broccoli,1011010201,Cabbage
1.029E+14,Purple Cabbage (1),1011010201,Cabbage
1.029E+14,Qinggengsanhua,1011010201,Cabbage
1.029E+14,Purple Cabbage (2),1011010201,Cabbage
1.029E+14,Zhijiang Qinggengsanhua,1011010201,Cabbage
1.029E+14,Lotus Root,1011010402,Aquatic Tuberous Vegetables
1.029E+14,Net Lotus Root (1),1011010402,Aquatic Tuberous Vegetables
1.029E+14,High Melon (1),1011010402,Aquatic Tuberous Vegetables
1.029E+14,Lotus (Ea),1011010402,Aquatic Tuberous Vegetables
1.029E+14,Water Chestnut (Lingjiao),1011010402,Aquatic Tuberous Vegetables
1.029E+14,Red Lotus Root Zone,1011010402,Aquatic Tuberous Vegetables
1.029E+14,Water Chestnut,1011010402,Aquatic Tuberous Vegetables
1.029E+14,Wild Lotus Root (1),1011010402,Aquatic Tuberous Vegetables
1.029E+14,Wild Pink Lotus Root,1011010402,Aquatic Tuberous Vegetables
1.029E+14,Honghu Lotus Root Powder (Fenou),1011010402,Aquatic Tuberous Vegetables
1.029E+14,Net Lotus Root (2),1011010402,Aquatic Tuberous Vegetables
1.029E+14,Fresh Lotus Root Zone (Bag),1011010402,Aquatic Tuberous Vegetables
1.029E+14,Water Chestnut (Bag),1011010402,Aquatic Tuberous Vegetables
1.029E+14,High Melon (2),1011010402,Aquatic Tuberous Vegetables
1.029E+14,Honghu Lotus (Lotus Root),1011010402,Aquatic Tuberous Vegetables
1.029E+14,Net Lotus Root (3),1011010402,Aquatic Tuberous Vegetables
1.029E+14,Wild Lotus Root (2),1011010402,Aquatic Tuberous Vegetables
1.029E+14,Honghu Lotus Root,1011010402,Aquatic Tuberous Vegetables
1.029E+14,Lotus Root Tip,1011010402,Aquatic Tuberous Vegetables
1.029E+14,Eggplant (2),1011010501,Solanum
1.029E+14,Green Eggplant (1),1011010501,Solanum
1.029E+14,Round Eggplant,1011010501,Solanum
1.029E+14,Dalong Eggplant,1011010501,Solanum
1.029E+14,Hua Eggplant,1011010501,Solanum
1.029E+14,Changxianqie,1011010501,Solanum
1.029E+14,Green Eggplant (2),1011010501,Solanum
1.029E+14,Eggplant (1),1011010501,Solanum
1.029E+14,Round Eggplant (1),1011010501,Solanum
1.029E+14,Round Eggplant (2),1011010501,Solanum
1.029E+14,Red Hot Peppers,1011010504,Capsicum
1.029E+14,Green Hot Peppers,1011010504,Capsicum
1.029E+14,Red Pepper (1),1011010504,Capsicum
1.029E+14,Green Hangjiao (1),1011010504,Capsicum
1.029E+14,Red Hang Pepper,1011010504,Capsicum
1.029E+14,Paopaojiao (Jingpin),1011010504,Capsicum
1.029E+14,7 Colour Pepper (1),1011010504,Capsicum
1.029E+14,Green Hangzhou Pepper (2),1011010504,Capsicum
1.029E+14,Bell Pepper (1),1011010504,Capsicum
1.029E+14,Millet Pepper,1011010504,Capsicum
1.029E+14,Luosi Pepper,1011010504,Capsicum
1.029E+14,Red Line Pepper,1011010504,Capsicum
1.029E+14,The Red Bell Pepper (1),1011010504,Capsicum
1.029E+14,Fruit Pepper (Orange),1011010504,Capsicum
1.029E+14,Wuhu Green Pepper (1),1011010504,Capsicum
1.029E+14,Pepper Mix,1011010504,Capsicum
1.029E+14,Wuhu Green Pepper (2),1011010504,Capsicum
1.029E+14,Xiaozhoupi,1011010504,Capsicum
1.029E+14,Yuganjiao,1011010504,Capsicum
1.029E+14,Lameizi,1011010504,Capsicum
1.029E+14,Purple Hot Peppers,1011010504,Capsicum
1.029E+14,Purple Screw Pepper,1011010504,Capsicum
1.029E+14,Fruit Chili,1011010504,Capsicum
1.029E+14,Millet Pepper (Bag),1011010504,Capsicum
1.029E+14,Green Hot Peppers (Bag),1011010504,Capsicum
1.029E+14,7 Colour Pepper (Bag),1011010504,Capsicum
1.029E+14,Bell Pepper (Bag),1011010504,Capsicum
1.029E+14,Red Bell Pepper (Bag),1011010504,Capsicum
1.029E+14,Xiaozhoupi (Bag),1011010504,Capsicum
1.029E+14,Wuhu Green Pepper (Bag),1011010504,Capsicum
1.029E+14,Green Hang Pepper (Bag),1011010504,Capsicum
1.029E+14,Red Hang Pepper (Bag),1011010504,Capsicum
1.029E+14,Fruit Pepper (Bag),1011010504,Capsicum
1.029E+14,Green Line Pepper (Bag),1011010504,Capsicum
1.029E+14,Red Hot Peppers (Bag),1011010504,Capsicum
1.029E+14,Luosi Pepper (Bag),1011010504,Capsicum
1.029E+14,7 Colour Pepper (2),1011010504,Capsicum
1.029E+14,Bell Pepper (2),1011010504,Capsicum
1.029E+14,Red Bell Pepper (2),1011010504,Capsicum
1.029E+14,Ginger And Xiaomijiao Mix (Small Bag),1011010504,Capsicum
1.029E+14,Red Pepper (Bag),1011010504,Capsicum
1.029E+14,Green And Red Hang Pepper Mix (Bag),1011010504,Capsicum
1.029E+14,Red Pepper (2),1011010504,Capsicum
1.029E+14,Green And Red Jian Pepper Mix (Bag),1011010504,Capsicum
1.029E+14,Green Line Pepper,1011010504,Capsicum
1.029E+14,Xixia Black Mushroom (1),1011010801,Edible Mushroom
1.029E+14,Xixia Mushroom (1),1011010801,Edible Mushroom
1.029E+14,Needle Mushroom (1),1011010801,Edible Mushroom
1.029E+14,Ping Mushroom,1011010801,Edible Mushroom
1.029E+14,Jigu Mushroom (1),1011010801,Edible Mushroom
1.029E+14,The White Mushroom (1),1011010801,Edible Mushroom
1.029E+14,The Agaricus Bisporus,1011010801,Edible Mushroom
1.029E+14,The Crab Flavor Mushroom (1),1011010801,Edible Mushroom
1.029E+14,Haixian Mushroom (1),1011010801,Edible Mushroom
1.029E+14,Apricot Bao Mushroom (1),1011010801,Edible Mushroom
1.029E+14,Jigu Mushroom (Bunch),1011010801,Edible Mushroom
1.029E+14,Needle Mushroom (Bag) (1),1011010801,Edible Mushroom
1.029E+14,Tremella (Flower),1011010801,Edible Mushroom
1.029E+14,Hericium ,1011010801,Edible Mushroom
1.029E+14,Fresh Black Fungus (1),1011010801,Edible Mushroom
1.029E+14,Chicken Fir Bacteria,1011010801,Edible Mushroom
1.029E+14,Black Porcini,1011010801,Edible Mushroom
1.029E+14,Haixian Mushroom (Bag) (1),1011010801,Edible Mushroom
1.029E+14,Xiuzhen Mushroom,1011010801,Edible Mushroom
1.029E+14,Chinese Caterpillar Fungus Flowers (Box) (1),1011010801,Edible Mushroom
1.029E+14,Tea Tree Mushroom (Bag),1011010801,Edible Mushroom
1.029E+14,Black Chicken  Mushroom,1011010801,Edible Mushroom
1.029E+14,Apricot Bao Mushroom (Bag),1011010801,Edible Mushroom
1.029E+14,The White Mushroom (Bag),1011010801,Edible Mushroom
1.029E+14,Chinese Caterpillar Fungus Flowers (Bag),1011010801,Edible Mushroom
1.029E+14,Chopped Red Pine,1011010801,Edible Mushroom
1.029E+14,The Steak Mushrooms,1011010801,Edible Mushroom
1.029E+14,White Jelly Mushroom,1011010801,Edible Mushroom
1.029E+14,Apricot Bao Mushroom (250 G),1011010801,Edible Mushroom
1.029E+14,Chopped Red Pine (Box),1011010801,Edible Mushroom
1.029E+14,The Steak Mushrooms (Box),1011010801,Edible Mushroom
1.029E+14,The Pork Stomach Mushroom (Box),1011010801,Edible Mushroom
1.029E+14,Black Porcini (Box),1011010801,Edible Mushroom
1.029E+14,Black Chicken Fir Bacteria (Box),1011010801,Edible Mushroom
1.029E+14,Haixian Mushroom (Bag),1011010801,Edible Mushroom
1.029E+14,Fresh Edible Fungus (Bag),1011010801,Edible Mushroom
1.029E+14,Apricot Bao Mushroom (Bag),1011010801,Edible Mushroom
1.029E+14,Agaricus Bisporus (Bag),1011010801,Edible Mushroom
1.029E+14,Needle Mushroom (Bag),1011010801,Edible Mushroom
1.029E+14,Chinese Caterpillar Fungus Flowers (Bag),1011010801,Edible Mushroom
1.029E+14,Jigu (Bag),1011010801,Edible Mushroom
1.029E+14,Xixia Xianggu Mushroom (2),1011010801,Edible Mushroom
1.029E+14,Fresh Edible Fungus (2),1011010801,Edible Mushroom
1.029E+14,Fresh Sea (2),1011010801,Edible Mushroom
1.029E+14,Jigu (2),1011010801,Edible Mushroom
1.029E+14,Needle Mushroom (2),1011010801,Edible Mushroom
1.029E+14,Apricot Bao Mushroom (2),1011010801,Edible Mushroom
1.029E+14,Xixia Black Mushroom (2),1011010801,Edible Mushroom
1.029E+14,Agaricus Bisporus (Box),1011010801,Edible Mushroom
1.029E+14,Black Mushroom (Bag),1011010801,Edible Mushroom
1.029E+14,The Fungus Mushroom Hot Pot Package (Bag),1011010801,Edible Mushroom
1.029E+14,Crab Flavor Mushroom And White Mushroom Mix (Box),1011010801,Edible Mushroom
1.029E+14,Xixia Xianggu Mushroom (Bag),1011010801,Edible Mushroom
1.029E+14,Mushroom And Leaf Mix (Bag),1011010801,Edible Mushroom
1.029E+14,Velvet Antler Mushroom (Box),1011010801,Edible Mushroom
1.029E+14,Chinese Caterpillar Fungus Flowers,1011010801,Edible Mushroom
1.0693E+14,The Crab Flavor Mushroom (Bag),1011010801,Edible Mushroom
1.0693E+14,Haixian Mushroom (Bag) (2),1011010801,Edible Mushroom
1.06932E+14,Embroidered Aureus,1011010801,Edible Mushroom
1.06932E+14,Embroidered Aureus (Bag),1011010801,Edible Mushroom
1.0695E+14,Needle Mushroom (Bag) (3),1011010801,Edible Mushroom
1.0695E+14,Needle Mushroom (Bag) (2),1011010801,Edible Mushroom
1.0695E+14,Needle Mushroom (Box),1011010801,Edible Mushroom
1.06956E+14,The White Mushroom (2),1011010801,Edible Mushroom
1.06956E+14,The Crab Flavor Mushroom (2),1011010801,Edible Mushroom
1.06958E+14,The White Mushroom (Box),1011010801,Edible Mushroom
1.06958E+14,The Crab Flavor Mushroom (Box),1011010801,Edible Mushroom
1.06959E+14,Haixian Mushroom (Bag) (4),1011010801,Edible Mushroom
1.06972E+14,Haixian Mushroom (Bunch),1011010801,Edible Mushroom
1.06972E+14,Haixian Mushroom (Bag) (3),1011010801,Edible Mushroom
1.06973E+14,Chinese Caterpillar Fungus Flowers (Box) (2),1011010801,Edible Mushroom
1.06974E+14,Hfyg Haixian Mushroom (Bunch),1011010801,Edible Mushroom
